City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
205,san antonio de pale,-1.4014,5.6325,28.16,78,36,2.52,GQ,1683656308
206,brigham city,41.5102,-112.0155,16.01,49,0,3.13,US,1683656308
207,turkmenbasy,40.0222,52.9552,14.43,82,0,5.14,TM,1683656308
208,ciudad nueva,-17.9837,-70.2356,17.54,72,75,2.57,PE,1683656309
209,manado,1.487,124.8455,25.43,94,20,0.51,ID,1683656309
210,nizhniy ingash,56.2,96.53,10.73,60,97,3.67,RU,1683656309
211,hadibu,12.65,54.0333,28.6,68,100,1.18,YE,1683656310
212,morant bay,17.8815,-76.4093,33.17,61,81,6.15,JM,1683656310
213,puerto baquerizo moreno,-0.9,-89.6,29.55,79,75,6.17,EC,1683656310
214,colonia,50.9333,6.95,16.09,88,20,1.54,DE,1683656311
215,rundu,-17.9333,19.7667,21.72,26,5,2.83,NA,1683656312
216,dudinka,69.4058,86.1778,-24.82,100,19,1.37,RU,1683656312
217,soto la marina,23.7667,-98.2167,34.83,43,51,4.92,MX,1683656313
218,nuku'alofa,-21.1333,-175.2,24.19,100,20,3.09,TO,1683656313
219,callao,-12.0667,-77.15,23.18,78,100,5.14,PE,1683655913
220,sosnovo-ozerskoye,52.5249,111.5418,7.7,38,6,1.15,RU,1683656314
221,ust-nera,64.5667,143.2,-5.13,73,56,3.46,RU,1683656315
222,hashtrud,37.4779,47.0508,13.58,59,100,3.19,IR,1683656315
223,initao,8.4997,124.3039,27.47,78,0,0.76,PH,1683656316
224,rumonge,-3.9736,29.4386,22.63,87,93,1.34,BI,1683656316
225,kuruman,-27.4524,23.4325,13.88,34,0,2.22,ZA,1683656316
226,thompson,55.7435,-97.8558,20.09,42,75,4.12,CA,1683656084
227,yankton,42.8711,-97.3973,21.18,72,100,3.6,US,1683656317
228,semey,50.4111,80.2275,19.94,34,95,4.25,KZ,1683656317
229,belogorsk,50.9158,128.4611,2.86,90,26,2.82,RU,1683656317
230,ulanhot,46.0833,122.0833,9.63,29,16,2.85,CN,1683656129
231,naxos,37.1056,25.3764,17.95,80,98,7.6,GR,1683656125
232,rach gia,10.0167,105.0833,28.32,74,80,1.84,VN,1683656318
233,aasiaat,68.7098,-52.8699,-1.23,81,84,1.67,GL,1683656318
234,arraial do cabo,-22.9661,-42.0278,26.98,78,40,6.17,BR,1683656318
235,lebu,-37.6167,-73.65,15.23,61,72,6.84,CL,1683656251
236,decize,46.8285,3.4619,16.82,96,95,2.81,FR,1683656319
237,port saint john's,-31.6229,29.5448,19.19,87,15,3.6,ZA,1683656319
238,susuman,62.7833,148.1667,-1.12,91,99,1.35,RU,1683656319
239,torghay,49.6339,63.4981,15.98,50,99,8.79,KZ,1683656319
240,canutama,-6.5339,-64.3831,29.5,65,99,1.91,BR,1683656320
241,aripuana,-9.1667,-60.6333,29.69,70,63,0.67,BR,1683656320
242,maintirano,-18.0667,44.0167,24.57,82,4,3.82,MG,1683656320
243,shankargarh,25.1833,81.6167,32.29,11,0,3.36,IN,1683656321
